"A101_01","A102_01","A202_01","A202_02","A203_06","A203_05","A203_03","A203_04","A203_10","A203_01","A203_07","A203_08","A203_09","A204","A205_01","A206_01","A206_02","A206_03","A207_01","A207_02","A207_03","A207_04","A207_05","A208_01","A208_02","A208_03","A208_04","A501_01","A501_02","A501_03","A501_04","A502","A502_01","A502_02","A502_03","A502_04","A502_05","A502_06","A502_07","A502_08","A502_09","A601_01","A602","A603_01","A603_02","A603_03","A603_04","A604","A605","A702","Bula"
5,"Bildung",101,51,4,3,5,4,3,5,4,4,5,2,NA,2,3,3,5,5,5,5,5,3,2,3,2,5,5,5,5,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1985",2,2,2,1,2,2,1,1,"RLP"
4,"Angebote für Kinder ",84,80,2,1,5,4,3,4,2,1,3,2,NA,4,5,4,NA,NA,NA,NA,NA,3,3,2,3,4,4,4,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1983",2,2,1,1,2,6,2,1,"TH"
4,"Geld ",82,31,4,5,5,4,5,3,4,3,5,1,"Bild",3,3,5,NA,NA,NA,NA,NA,4,4,5,2,4,3,4,4,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1993",2,1,1,1,1,4,2,1,"TH"
3,"Mobilität ",66,69,4,4,4,4,2,4,2,1,3,2,NA,4,4,1,NA,NA,NA,NA,NA,3,4,5,4,4,3,5,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1990",2,2,1,1,2,2,1,1,"TH"
4,"Notarztcentrale",81,80,5,2,6,6,3,1,3,3,5,1,"AZ Mainz",3,4,5,3,4,4,4,3,4,3,4,2,4,4,1,4,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1958",2,2,1,2,2,6,3,1,"RLP"
3,"keines",52,77,1,1,5,1,3,3,3,1,4,2,NA,3,5,5,NA,1,1,1,1,4,1,4,1,4,4,1,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1958",1,2,1,2,2,6,1,1,"RLP"
4,"ÖPNV",78,85,3,3,3,3,1,1,3,3,4,2,NA,3,2,2,NA,NA,NA,NA,NA,3,3,4,3,4,3,2,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"1980",1,1,2,2,2,2,1,1,"TH"
3,"nichts",51,51,1,1,6,1,4,1,4,1,3,2,NA,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1960",2,1,2,2,2,6,1,1,"RLP"
3,"Soziale Ausgaben für Kinder",33,97,2,5,6,5,1,1,2,3,4,2,NA,5,3,5,NA,NA,NA,NA,NA,4,3,2,1,5,3,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1956",1,1,2,2,2,6,1,1,"TH"
4,"Sicherheit ",52,51,3,2,4,5,1,2,1,1,3,2,NA,2,4,4,NA,NA,NA,NA,NA,3,2,4,2,2,2,1,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1958",2,2,1,2,2,6,5,1,"TH"
5,"Ausländer ",101,61,1,1,5,5,3,3,3,3,4,2,NA,5,5,5,NA,NA,NA,NA,NA,3,1,3,1,5,5,5,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1965",1,2,1,2,2,6,1,1,"TH"
2,"Wohnraum ",29,58,1,1,2,4,1,1,1,1,2,2,NA,4,2,2,NA,NA,NA,NA,NA,2,3,1,3,1,1,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"2002",3,2,2,2,1,4,1,1,"TH"
5,NA,49,57,6,6,6,6,4,6,5,5,5,1,"Rhein-Hunrrück",2,5,2,5,4,4,5,5,5,3,5,4,4,5,4,5,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1972",1,1,2,2,2,6,1,1,"RLP"
4,"Gesundheitswesen",92,100,4,4,3,5,2,2,1,1,3,NA,NA,2,3,3,5,5,5,5,5,3,1,2,1,3,4,4,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1965",2,1,2,2,2,6,5,1,"RLP"
